ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
135230170,Male,45,4,White,University,2,3,0,,,-2.290505909,-3.42
135230210,Male,28,2,White,University,1,4,0,0.7559490783216478,,0.3491976504660765,0.52
135231010,Female,58,5,Black or Black British,,5,2,0,1.3449095554818349,0.5447858333935546,-0.381797181,-2.27
135231210,Male,70,6,Asian or Asian British,GCSE,3,4,0,,,,
135233210,Female,64,5,White,Other,5,5,0,-0.15244759,-0.91493273,0.613168006,-0.84
135235130,Female,84,7,White,,1,5,0,0.4564776492571459,,0.3593503564624661,1.22
135237250,Male,84,7,White,,4,4,0,0.1270590772861937,-0.377675203,0.1055327065527261,
135238290,Female,34,2,Asian or Asian British,,6,2,0,,,0.3593503564624661,-0.53
135239250,Female,47,4,White,ALevel,2,2,1,,,0.613168006,
135241130,Female,50,4,White,University,1,3,0,1.3449095554818349,0.5143750299929439,0.3593503564624661,1.22
135241210,Male,21,1,White,University,1,4,0,-1.59989283,0.1798561925862268,-0.097521413,-0.75
135244010,Male,36,3,Chinese or other,University,1,4,0,-0.372059971,,-0.584851301,-1.22
135249210,Female,28,2,White,University,1,5,1,-1.619857592,0.1494453891856161,0.613168006,-2.93
135250130,Female,33,2,White,University,1,5,0,0.7559490783216478,0.5143750299929439,-0.087368707,0.5
135252250,Male,30,2,White,University,1,4,0,,0.8184830639990504,-0.381797181,1.22
135253010,Female,55,5,White,ALevel,5,3,0,-0.961020448,-1.127808354,-1.051875777,
135253050,Male,44,3,White,ALevel,4,3,0,-1.29043902,-0.377675203,0.1156854125491157,-0.26
135254050,Male,31,2,White,University,1,4,1,-0.132482828,-0.185073448,0.3593503564624661,0.7
135254090,Female,32,2,White,University,5,3,0,0.2169005060055442,2.2072430859602696,-1.062028483,0.3
135255050,Female,53,4,White,ALevel,1,5,0,-0.441936638,0.027802176,0.3593503564624661,0.41
135255130,Female,33,2,White,GCSE,4,4,0,0.4464952682883291,0.6968398503966078,1.3340101321158675,-1.41
135255290,Female,64,5,White,University,1,3,0,,,,-0.2
135258170,Female,32,2,White,University,1,1,0,-1.050861877,-0.965617402,-1.975772023,0.27
135260210,Female,48,4,White,University,1,4,0,-0.691496162,,-0.310728239,0.43
135263170,Female,64,5,White,University,2,1,0,0.1869533630990941,0.5447858333935546,0.866985656,0.75
135267050,Female,54,4,White,GCSE,5,1,0,-2.168888546,-1.259588502,-3.133180506,-2.69
135267090,Male,51,4,White,University,1,2,1,,,,
135267170,Female,29,2,White,GCSE,3,2,0,-0.98098521,0.5447858333935546,0.1562962365346741,-2.02
135267290,Male,48,4,White,University,1,4,0,0.1470238392238272,0.1494453891856161,0.1562962365346741,0.71
135272210,Female,63,5,Asian or Asian British,Other,5,2,0,,,1.2832466021339195,
135274130,Female,96,7,White,,1,3,0,,,,
135277050,Male,24,1,White,GCSE,5,1,1,0.7759138402592812,0.5447858333935546,0.1461435305382845,-0.5
135280210,Female,20,1,Asian or Asian British,ALevel,5,1,0,,0.4028687508573715,0.3593503564624661,-2.43
135281010,Female,31,2,White,GCSE,4,1,1,-1.869417116,,1.0903451882025177,-1.93
135281050,Female,36,3,White,University,5,2,0,1.3449095554818349,1.2543712460744694,-0.036605177,0.73
135282130,Female,51,4,White,GCSE,3,3,0,0.7359843163840144,,0.1562962365346741,-0.24
135282290,Female,46,4,White,University,2,5,1,-1.020914734,,0.1562962365346741,-0.01
135284050,Female,38,3,White,GCSE,1,3,0,1.0654028883549664,0.5447858333935546,0.1562962365346741,1.22
135284090,Female,47,4,,,1,5,0,0.7759138402592812,0.7475245227309588,-0.402102593,0.97
135284290,Female,26,2,White,ALevel,1,1,0,1.3449095554818349,,1.7807291959570102,-1.49
135287050,Female,18,1,White,ALevel,1,2,0,-0.112518066,-0.925069664,0.1156854125491157,-0.97
135290090,Male,19,1,White,ALevel,8,2,0,0.4764424111947792,,0.5624044763902581,-0.47
135290170,Female,66,6,White,ALevel,1,5,0,0.4564776492571459,0.1088976513181353,0.3593503564624661,-0.78
135290210,Female,69,6,White,,5,5,0,,,1.2832466021339195,1.22
135292050,Male,53,4,White,University,3,5,0,0.4464952682883291,0.1494453891856161,0.3593503564624661,-1.01
135292090,Male,48,4,White,Other,5,3,0,-1.000949972,-1.918489242,-1.051875777,-1.54
135293050,Male,21,1,White,ALevel,4,4,0,0.486424792,,0.3593503564624661,1.22
135296210,Male,20,1,Asian or Asian British,ALevel,7,4,0,,-0.62096163,-0.767600009,-0.42
135297250,Male,41,3,White,ALevel,1,4,0,0.4764424111947792,0.5447858333935546,0.3593503564624661,0.75
135298130,Female,21,1,White,GCSE,5,1,0,-0.681513781,-1.614381208,-0.737141891,-0.69
135298170,Male,51,4,White,GCSE,4,2,0,,0.4130056853242417,-2.036688259,0.19
135300170,Female,71,6,White,,1,4,0,-2.168888546,-1.036575943,-1.254929897,0.52
135302010,Male,39,3,White,University,3,3,0,1.3449095554818349,0.3623210129898906,-0.097521413,1.22
135303050,Male,66,6,White,,4,4,0,-1.280456639,-0.266168924,-2.006230141,1.22
135303170,Female,64,5,White,GCSE,3,4,1,,,-1.254929897,1.22
135303210,Male,37,3,White,ALevel,3,1,0,-0.711460924,-1.583970405,0.3796557684552454,0.28
135304010,Female,21,1,White,GCSE,1,1,0,,,-0.341186357,-0.49
135306130,Female,53,4,Asian or Asian British,GCSE,8,3,0,,,,0.54
135306210,Male,42,3,White,University,2,5,0,-0.132482828,-0.357401334,-0.310728239,0.73
135306290,Male,56,5,White,,3,5,0,-1.619857592,-2.587526917,0.3593503564624661,0.5
135307050,Female,56,5,White,GCSE,4,2,1,-1.889381878,,-1.224471779,-0.88
135307210,Male,23,1,Asian or Asian British,University,8,1,1,,,,-3.8
135309210,Female,40,3,White,Other,5,4,0,1.903922889735572,1.943682789821644,0.3695030624588558,1.22
135311050,Male,42,3,White,GCSE,1,1,0,1.3449095554818349,0.8184830639990504,-0.554393183,-0.53
135313010,Female,41,3,White,,4,4,0,,,-1.457984017,0.52
135319210,Male,33,2,White,,2,4,0,-1.609875211,-1.563696536,0.8162221262999981,1
135321250,Female,21,1,White,University,3,4,0,0.1969357440679108,-0.580413892,-1.965619317,-0.02
135331010,Female,53,4,White,University,3,2,0,0.1669886011614606,0.1190345857850055,-1.011264953,-1.11
135332170,Female,30,2,White,,5,4,0,0.486424792,0.8793046708002716,0.3593503564624661,-0.01
135335130,Male,44,3,White,GCSE,1,4,0,-0.142465209,0.7779353261315695,0.3593503564624661,1.22
135337210,Female,66,6,White,GCSE,1,,0,-1.579928068,-0.681783237,1.5776750760292182,0.94
135339250,Female,28,2,White,University,5,1,1,-1.010932353,-0.681783237,-0.554393183,-2.49
135341170,Male,75,7,White,Other,5,,1,,,1.1715668361736342,0.29
135342170,Female,30,2,White,GCSE,3,,0,-0.382042352,,-1.051875777,1
135343090,Female,76,7,White,,5,,0,1.0554205073861498,,0.3593503564624661,1.22
135343330,Female,19,1,White,,5,,0,-0.651566638,-1.594107339,-2.879362856,0.43
135344130,Male,31,2,White,ALevel,5,,0,0.1769709821302773,-0.519592286,-0.595004007,-0.97
135345050,Female,53,4,White,Other,4,,1,-1.859434736,,-0.452866123,-2.24
135345330,Female,32,2,White,ALevel,3,,1,,-0.590550827,-1.325998839,-1.9
135349210,Male,79,7,White,,5,3,0,1.3449095554818349,0.8488938673996609,0.3593503564624661,1.22
135349250,Male,31,2,White,University,1,3,0,-0.072588542,0.5447858333935546,1.5776750760292182,-0.21
135349370,Male,65,6,White,ALevel,2,3,0,-0.711460924,-1.269725436,0.6740842423505438,0.74
135351010,Female,54,4,White,,5,1,0,0.4365128873195124,,-0.534087771,-1.56
135354010,Male,43,3,Black or Black British,University,5,1,1,1.3149624125753847,,1.0395816582205692,-1.55
135354290,Female,33,2,White,University,2,2,0,0.1470238392238272,,0.3593503564624661,-1.01
135354330,Male,47,4,Asian or Asian British,GCSE,4,2,1,1.0354557454485165,0.5447858333935546,0.3593503564624661,-0.23
135355130,Female,30,2,White,University,2,1,0,0.4365128873195124,0.1798561925862268,0.3695030624588558,-1.08
135356090,Female,48,4,White,University,1,3,0,,,-1.315846133,0.28
135357010,Female,67,6,White,ALevel,1,2,0,-0.701478543,-0.002608628,0.1562962365346741,0.46
135357290,Male,42,3,White,ALevel,1,4,0,0.4764424111947792,-0.955480468,0.3593503564624661,0.75
135360130,Female,17,1,White,ALevel,7,3,1,0.7659314592904646,0.088623782,-0.138132237,-1.89
135362090,Female,50,4,White,GCSE,1,5,1,0.1470238392238272,1.2138235082069886,1.0700397762097382,-0.45
135365170,Female,42,3,Black or Black British,Other,6,2,1,0.1969357440679108,0.9198524086677524,0.1156854125491157,-1.41
135366290,Male,34,2,White,University,1,5,0,0.4564776492571459,1.1428649669388973,1.0700397762097382,-0.06
135366330,Female,34,2,White,University,1,5,0,0.5063895541012295,1.0313586878033247,0.1156854125491157,1.22
135367090,Female,17,1,White,GCSE,5,4,1,1.0454381264173331,0.1798561925862268,0.3593503564624661,0.21
135367130,Male,35,3,White,University,1,5,0,0.4664600302259626,0.4231426197911119,0.3491976504660765,-0.01
135369050,Female,37,3,White,GCSE,1,3,0,0.1769709821302773,,-0.097521413,-0.26
135369090,Female,33,2,White,ALevel,4,2,0,,0.5143750299929439,0.613168006,-0.78
135369290,Female,39,3,White,GCSE,2,1,1,0.1570062201926439,,-1.051875777,-2.49
135370130,Male,27,2,White,GCSE,6,3,0,0.1570062201926439,0.1798561925862268,-1.315846133,-1.45
135371250,Male,44,3,White,University,1,2,0,0.4764424111947792,0.6968398503966078,0.1461435305382845,0.02
135373050,Female,54,4,Chinese or other,,6,3,0,,,-1.437678605,1
