ID,Sex,Age,AgeGroup,EthicGroup,Education,SES,DeprivationIndex,bcsvictim,effectx,fairx,confx,antisocx
135230170,1,45,4,1,4,2,3,0, , ,2.286600113,3.41788435
135230210,1,28,2,1,4,1,4,0,-0.752267301, ,-0.312347144,-0.519845665
135231010,2,58,5,4,1,5,2,0,-1.339923978,-0.528881967,0.41336593,2.271282673
135231210,1,70,6,3,2,3,4,0, , , , 
135233210,2,64,5,1,5,5,5,0,0.162629426,0.910820007,-0.568788171,0.83578831
135235130,2,84,7,1,1,1,5,0,-0.448666126, ,-0.318383187,-1.215266705
135237250,1,84,7,1,1,4,4,0,-0.117944956,0.375998318,-0.073018149, 
135238290,2,34,2,3,1,6,2,0, , ,-0.323983341,0.528007925
135239250,2,47,4,1,3,2,2,1, , ,-0.56612283, 
135241130,2,50,4,1,4,1,3,0,-1.339923978,-0.496652365,-0.323983341,-1.215266705
135241210,1,21,1,1,4,1,4,0,1.61383462,-0.168352425,0.125689447,0.75271672
135244010,1,36,3,5,4,1,4,0,0.381102979, ,0.612633765,1.216589332
135249210,2,28,2,1,4,1,5,1,1.627001405,-0.144278109,-0.574948549,2.928137541
135250130,2,33,2,1,4,1,5,0,-0.747197032,-0.496652365,0.117423981,-0.500811279
135252250,1,30,2,1,4,1,4,0, ,-0.798705697,0.413926154,-1.215266705
135253010,2,55,5,1,3,5,3,0,0.973829925,1.121027112,1.074503064, 
135253050,1,44,3,1,3,4,3,0,1.295758128,0.379439831,-0.081843846,0.261229068
135254050,1,31,2,1,4,1,4,1,0.140057564,0.1935509,-0.323983341,-0.701812029
135254090,2,32,2,1,4,5,3,0,-0.20762071,-2.170363188,1.081781387,-0.298472106
135255050,2,53,4,1,3,1,5,0,0.451755226,-0.018134601,-0.323983341,-0.414235651
135255130,2,33,2,1,2,4,4,0,-0.439502627,-0.679099798,-1.281062365,1.409740448
135255290,2,64,5,1,4,1,3,0, , , ,0.202290595
135258170,2,32,2,1,4,1,1,0,1.05843544,0.963999152,1.979884624,-0.271260083
135260210,2,48,4,1,4,1,4,0,0.698696315, ,0.337153733,-0.427352369
135263170,2,64,5,1,4,2,1,0,-0.178631023,-0.527264237,-0.819193125,-0.753157198
135267050,2,54,4,1,2,5,1,0,2.178919554,1.253464341,3.119140387,2.6854918
135267090,1,51,4,1,4,1,2,1, , , , 
135267170,2,29,2,1,2,3,2,0,0.988305271,-0.527264237,-0.124715529,2.019046307
135267290,1,48,4,1,4,1,4,0,-0.135901451,-0.136122853,-0.124715529,-0.714335263
135272210,2,63,5,3,5,5,2,0, , ,-1.229925275, 
135274130,2,96,7,1,1,1,3,0, , , , 
135277050,1,24,1,1,2,5,1,1,-0.771358013,-0.528881967,-0.113079309,0.502221346
135280210,2,20,1,3,3,5,1,0, ,-0.390017033,-0.323983341,2.430966377
135281010,2,31,2,1,2,4,1,1,1.880388618, ,-1.036257625,1.930034876
135281050,2,36,3,1,4,5,2,0,-1.341513157,-1.23342967,0.065726601,-0.733369648
135282130,2,51,4,1,2,3,3,0,-0.728628397, ,-0.124715529,0.23926197
135282290,2,46,4,1,4,2,5,1,1.02511096, ,-0.124715529,0.012643457
135284050,2,38,3,1,2,1,3,0,-1.060483813,-0.528881967,-0.124715529,-1.215266705
135284090,2,47,4, ,1,1,5,0,-0.765434086,-0.732278943,0.431162566,-0.966681123
135284290,2,26,2,1,3,1,1,0,-1.339923978, ,-1.722469687,1.491049051
135287050,2,18,1,1,3,1,2,0,0.115896583,0.917253017,-0.079178549,0.96800375
135290090,1,19,1,1,3,8,2,0,-0.472827107, ,-0.523251176,0.474921852
135290170,2,66,6,1,3,1,5,0,-0.448666126,-0.099077918,-0.323983341,0.776593506
135290210,2,69,6,1,1,5,5,0, , ,-1.229925275,-1.215266705
135292050,1,53,4,1,4,3,5,0,-0.439261049,-0.136122853,-0.323983341,1.009904981
135292090,1,48,4,1,5,5,3,0,1.010635614,1.898012877,1.074503064,1.544157267
135293050,1,21,1,1,3,4,4,0,-0.482512742, ,-0.323983341,-1.215266705
135296210,1,20,1,3,3,7,4,0, ,0.618057907,0.79230231,0.415558279
135297250,1,41,3,1,3,1,4,0,-0.472827107,-0.528881967,-0.323983341,-0.749653161
135298130,2,21,1,1,2,5,1,0,0.69438976,1.595826268,0.763429701,0.688277006
135298170,1,51,4,1,2,4,2,0, ,-0.402605176,2.041795254,-0.191289976
135300170,2,71,6,1,1,1,4,0,2.178919554,1.03189981,1.273210645,-0.523349702
135302010,1,39,3,1,4,3,3,0,-1.339923978,-0.347808361,0.125689447,-1.215266705
135303050,1,66,6,1,1,4,4,0,1.286594629,0.270804375,2.011120081,-1.215266705
135303170,2,64,5,1,2,3,4,1, , ,1.267610431,-1.215266705
135303210,1,37,3,1,3,3,1,0,0.721509755,1.573259115,-0.336179793,-0.283783287
135304010,2,21,1,1,2,1,1,0, , ,0.367268741,0.486859769
135306130,2,53,4,3,2,8,3,0, , , ,-0.536129177
135306210,1,42,3,1,4,2,5,0,0.14406085,0.362923145,0.337153733,-0.725520074
135306290,1,56,5,1,1,3,5,0,1.627001405,2.560351849,-0.323983341,-0.501067579
135307050,2,56,5,1,2,4,2,1,1.90296042, ,1.243095636,0.877251327
135307210,1,23,1,3,4,8,1,1, , , ,3.801033258
135309210,2,40,3,1,5,5,4,0,-1.895323157,-1.908590078,-0.329438299,-1.215266705
135311050,1,42,3,1,2,1,1,0,-1.339923978,-0.798838973,0.582103729,0.528007925
135313010,2,41,3,1,1,4,4,0, , ,1.466878295,-0.516341686
135319210,1,33,2,1,1,2,4,0,1.623520255,1.554000139,-0.768055975,-1.00174284
135321250,2,21,1,1,4,3,4,0,-0.187463,0.582486928,1.965458751,0.022233989
135331010,2,53,4,1,4,3,2,0,-0.160062447,-0.112181775,1.034441829,1.106136918
135332170,2,30,2,1,1,5,4,0,-0.482232183,-0.858555675,-0.323983341,0.012643457
135335130,1,44,3,1,2,1,4,0,0.15294379,-0.764508545,-0.323983341,-1.215266705
135337210,2,66,6,1,2,1, ,0,1.590195775,0.681626439,-1.523201942,-0.939043999
135339250,2,28,2,1,4,5,1,1,1.021388173,0.675088823,0.582103729,2.494250536
135341170,1,75,7,1,5,5, ,1, , ,-1.124666214,-0.287287295
135342170,2,30,2,1,2,3, ,0,0.394269764, ,1.074503064,-1.00174284
135343090,2,76,7,1,1,5, ,0,-1.050798178, ,-0.323983341,-1.215266705
135343330,2,19,1,1,1,5, ,0,0.662132263,1.576117277,2.869295597,-0.427352369
135344130,1,31,2,1,3,5, ,0,-0.169225946,0.519678533,0.624269962,0.967834949
135345050,2,53,4,1,5,4, ,1,1.86615479, ,0.478563756,2.236074209
135345330,2,32,2,1,3,3, ,1, ,0.591125369,1.341717601,1.902822375
135349210,1,79,7,1,1,5,3,0,-1.339923978,-0.829317629,-0.323983341,-1.215266705
135349250,1,31,2,1,4,1,3,0,0.082572088,-0.528881967,-1.523201942,0.214141026
135349370,1,65,6,1,3,2,3,0,0.721509755,1.25971961,-0.632121742,-0.736873686
135351010,2,54,4,1,1,5,1,0,-0.425027251, ,0.559693992,1.561428547
135354010,1,43,3,4,4,5,1,1,-1.306599498, ,-0.985120416,1.553747773
135354290,2,33,2,1,4,2,2,0,-0.135901451, ,-0.323983341,1.006569862
135354330,1,47,4,3,2,4,2,1,-1.028226256,-0.528881967,-0.323983341,0.229671434
135355130,2,30,2,1,4,2,1,0,-0.425027251,-0.168352425,-0.332809061,1.082172632
135356090,2,48,4,1,4,1,3,0, , ,1.330944061,-0.283783287
135357010,2,67,6,1,3,1,2,0,0.712104678,0.007557398,-0.124715529,-0.460650921
135357290,1,42,3,1,3,1,4,0,-0.472827107,0.946491063,-0.323983341,-0.749653161
135360130,2,17,1,1,3,7,3,1,-0.761952937,-0.082943693,0.168561131,1.888133645
135362090,2,50,4,1,2,1,5,1,-0.135901451,-1.186157227,-1.019021153,0.450707376
135365170,2,42,3,4,5,6,2,1,-0.192864805,-0.895600617,-0.081843846,1.414582968
135366290,1,34,2,1,4,1,5,0,-0.454590052,-1.123420358,-1.019021153,0.062394336
135366330,2,34,2,1,4,1,5,0,-0.495398968,-1.008773565,-0.081843846,-1.215266705
135367090,2,17,1,1,2,5,4,1,-1.041393042,-0.171898514,-0.323983341,-0.212065324
135367130,1,35,3,1,4,1,5,0,-0.458593339,-0.414235115,-0.312347144,0.012643457
135369050,2,37,3,1,2,1,3,0,-0.169225946, ,0.125689447,0.261229068
135369090,2,33,2,1,3,4,2,0, ,-0.503189921,-0.568788171,0.778444111
135369290,2,39,3,1,2,2,1,1,-0.149068236, ,1.06890285,2.486400843
135370130,1,27,2,1,2,6,3,0,-0.154992163,-0.166978613,1.325468183,1.446228027
135371250,1,44,3,1,4,1,2,0,-0.467756838,-0.679099798,-0.113079309,-0.018914172
135373050,2,54,4,5,1,6,3,0, , ,1.453999639,-1.00174284
135375010,2,998,2,1,4,1,2,0,-1.339923978,-1.125038028,-0.323983341,0.691780984
135375130,1,998,2,1,3,2,1,0,-1.339923978,-0.499643862,1.398454905,0.741531909
135376010,1,52,4,3,1,5,2,0, , ,-0.323983341, 
135376130,2,36,3,4,1,1,2,0, , ,-0.985120416,-0.425589293
135377090,1,26,2,1,4,2,2,0,0.084161215, ,1.074503064,0.524503887
135378090,1,52,4,1,3,5,2,0,-1.339923978,-0.528881967,-0.323983341,0.50981468
135378290,1,35,3,1,1,6,2,0, , ,-0.729115248,0.760397494
135379130,1,69,6,1,1,5,1,0,0.143538713, ,-0.124715529,-1.00174284
135380010,1,32,2,1,4,1,2,1,0.399340034,-0.291504443,-0.574388325,1.429527998
135380090,1,23,1,1,3,1,1,1,-0.434432328,-1.285368204,1.082913756,0.91648978
135380210,2,43,3,4,4,2,1,0,-1.050798178, ,-0.323983341,1.444633722
135380250,1,37,3,1,4,1,3,0, , ,1.062866807,-0.018914172
135381250,1,60,5,1,4,1,3,0,0.116418712,-1.008773565,-0.113079309,-0.497307271
135382130,2,49,4,4,5,5,1,0, , ,-1.477664948,3.587509394
135382210,1,57,5,1,4,1,2,1,-0.804924071,-1.149112344,-0.113079309,0.47825703
135382250,1,68,6,1,1,3,3,0, , , ,-1.215266705
135382290,1,44,3,1,4,1,3,0, , ,-1.010195494,-0.212065324
135383090,1,62,5,1,1,3,3,0,0.43858844,0.181849554,0.835174024,1.137694597
135383170,1,31,2,1,4,1,2,1,0.978900194,-1.520994782,1.074503064,1.995228648
135383210,1,75,7,1,1,5,1,0,1.011702538,1.066097021,0.570322275,0.719249308
135386130,2,66,6,4,5,2,2,0, ,-0.679099798,-0.323983341,0.719418168
135387090,2,31,2,1,3,1,4,1,0.984582603, ,0.820167065,0.956650138
135392010,1,26,2,1,3,1,2,0, , ,-0.568788171,0.001458645
135392050,1,79,7,1,1,3,2,0, ,0.012721165,-0.124715529,-0.552325249
135395170,2,55,5,1,3,5,2,1,0.44206959,0.272422045,-1.523201942,0.237352237
135396290,2,46,4,1,4,1,4,0,0.115896583, ,0.316691816,0.443195403
135397090,1,80,7,1,1,4,1,0, , ,-1.722469687,-1.00174284
135397170,1,39,3,1,3,1,1,0,2.178919554,2.863879204,3.621070623,0.419318557
