,Unnamed: 0,ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effect,fair,confpolice,antisoc
0,0,135230170.0,Male,45.0,4,White,University,2.0,3.0,0.0,,,2.2905059085952195,3.42
1,1,135230210.0,Male,28.0,2,White,University,1.0,4.0,0.0,-0.7559490783216478,,-0.3491976504660765,-0.52
2,2,135231010.0,Female,58.0,5,Black or Black British,,5.0,2.0,0.0,-1.3449095554818349,-0.5447858333935546,0.3817971812739746,2.27
3,3,135231210.0,Male,70.0,6,Asian or Asian British,GCSE,3.0,4.0,0.0,,,,
4,4,135233210.0,Female,64.0,5,White,Other,5.0,5.0,0.0,0.1524475898406747,0.9149327298357564,-0.613168006372206,0.84
5,5,135235130.0,Female,84.0,7,White,,1.0,5.0,0.0,-0.4564776492571459,,-0.3593503564624661,-1.22
6,6,135237250.0,Male,84.0,7,White,,4.0,4.0,0.0,-0.1270590772861937,0.377675203091635,-0.1055327065527261,
7,7,135238290.0,Female,34.0,2,Asian or Asian British,,6.0,2.0,0.0,,,-0.3593503564624661,0.53
8,8,135239250.0,Female,47.0,4,White,ALevel,2.0,2.0,1.0,,,-0.613168006372206,
9,9,135241130.0,Female,50.0,4,White,University,1.0,3.0,0.0,-1.3449095554818349,-0.5143750299929439,-0.3593503564624661,-1.22
10,10,135241210.0,Male,21.0,1,White,University,1.0,4.0,0.0,1.599892830319101,-0.1798561925862268,0.0975214133750658,0.75
11,11,135244010.0,Male,36.0,3,Chinese or other,University,1.0,4.0,0.0,0.3720599711546429,,0.5848513012017668,1.22
12,12,135249210.0,Female,28.0,2,White,University,1.0,5.0,1.0,1.6198575922567342,-0.1494453891856161,-0.613168006372206,2.93
13,13,135250130.0,Female,33.0,2,White,University,1.0,5.0,0.0,-0.7559490783216478,-0.5143750299929439,0.0873687073786762,-0.5
14,14,135252250.0,Male,30.0,2,White,University,1.0,4.0,0.0,,-0.8184830639990504,0.3817971812739746,-1.22
15,15,135253010.0,Female,55.0,5,White,ALevel,5.0,3.0,0.0,0.96102044831483,1.127808353640031,1.0518757770356884,
16,16,135253050.0,Male,44.0,3,White,ALevel,4.0,3.0,0.0,1.2904390202857825,0.377675203091635,-0.1156854125491157,0.26
17,17,135254050.0,Male,31.0,2,White,University,1.0,4.0,1.0,0.1324828279030413,0.1850734482211009,-0.3593503564624661,-0.7
18,18,135254090.0,Female,32.0,2,White,University,5.0,3.0,0.0,-0.2169005060055442,-2.2072430859602696,1.062028483032078,-0.3
19,19,135255050.0,Female,53.0,4,White,ALevel,1.0,5.0,0.0,0.44193663793636,-0.0278021755831735,-0.3593503564624661,-0.41
20,20,135255130.0,Female,33.0,2,White,GCSE,4.0,4.0,0.0,-0.4464952682883291,-0.6968398503966078,-1.3340101321158675,1.41
21,21,135255290.0,Female,64.0,5,White,University,1.0,3.0,0.0,,,,0.2
22,22,135258170.0,Female,32.0,2,White,University,1.0,1.0,0.0,1.0508618770341809,0.9656174021701074,1.975772022707142,-0.27
23,23,135260210.0,Female,48.0,4,White,University,1.0,4.0,0.0,0.6914961621567782,,0.3107282392992475,-0.43
24,24,135263170.0,Female,64.0,5,White,University,2.0,1.0,0.0,-0.1869533630990941,-0.5447858333935546,-0.866985656281946,-0.75
25,25,135267050.0,Female,54.0,4,White,GCSE,5.0,1.0,0.0,2.1688885455416544,1.2595885017093438,3.1331805062955564,2.69
26,26,135267090.0,Male,51.0,4,White,University,1.0,2.0,1.0,,,,
27,27,135267170.0,Female,29.0,2,White,GCSE,3.0,2.0,0.0,0.9809852102524635,-0.5447858333935546,-0.1562962365346741,2.02
28,28,135267290.0,Male,48.0,4,White,University,1.0,4.0,0.0,-0.1470238392238272,-0.1494453891856161,-0.1562962365346741,-0.71
29,29,135272210.0,Female,63.0,5,Asian or Asian British,Other,5.0,2.0,0.0,,,-1.2832466021339195,
30,30,135274130.0,Female,96.0,7,White,,1.0,3.0,0.0,,,,
31,31,135277050.0,Male,24.0,1,White,GCSE,5.0,1.0,1.0,-0.7759138402592812,-0.5447858333935546,-0.1461435305382845,0.5
32,32,135280210.0,Female,20.0,1,Asian or Asian British,ALevel,5.0,1.0,0.0,,-0.4028687508573715,-0.3593503564624661,2.43
33,33,135281010.0,Female,31.0,2,White,GCSE,4.0,1.0,1.0,1.8694171164771525,,-1.0903451882025177,1.93
34,34,135281050.0,Female,36.0,3,White,University,5.0,2.0,0.0,-1.3449095554818349,-1.2543712460744694,0.0366051773967282,-0.73
35,35,135282130.0,Female,51.0,4,White,GCSE,3.0,3.0,0.0,-0.7359843163840144,,-0.1562962365346741,0.24
36,36,135282290.0,Female,46.0,4,White,University,2.0,5.0,1.0,1.0209147341277305,,-0.1562962365346741,0.01
37,37,135284050.0,Female,38.0,3,White,GCSE,1.0,3.0,0.0,-1.0654028883549664,-0.5447858333935546,-0.1562962365346741,-1.22
38,38,135284090.0,Female,47.0,4,,,1.0,5.0,0.0,-0.7759138402592812,-0.7475245227309588,0.4021025932667538,-0.97
39,39,135284290.0,Female,26.0,2,White,ALevel,1.0,1.0,0.0,-1.3449095554818349,,-1.7807291959570102,1.49
40,40,135287050.0,Female,18.0,1,White,ALevel,1.0,2.0,0.0,0.1125180659654078,0.9250696643026266,-0.1156854125491157,0.97
41,41,135290090.0,Male,19.0,1,White,ALevel,8.0,2.0,0.0,-0.4764424111947792,,-0.5624044763902581,0.47
42,42,135290170.0,Female,66.0,6,White,ALevel,1.0,5.0,0.0,-0.4564776492571459,-0.1088976513181353,-0.3593503564624661,0.78
43,43,135290210.0,Female,69.0,6,White,,5.0,5.0,0.0,,,-1.2832466021339195,-1.22
44,44,135292050.0,Male,53.0,4,White,University,3.0,5.0,0.0,-0.4464952682883291,-0.1494453891856161,-0.3593503564624661,1.01
45,45,135292090.0,Male,48.0,4,White,Other,5.0,3.0,0.0,1.000949972190097,1.9184892420559072,1.0518757770356884,1.54
46,46,135293050.0,Male,21.0,1,White,ALevel,4.0,4.0,0.0,-0.486424792163596,,-0.3593503564624661,-1.22
47,47,135296210.0,Male,20.0,1,Asian or Asian British,ALevel,7.0,4.0,0.0,,0.6209616302965201,0.7676000091367796,0.42
48,48,135297250.0,Male,41.0,3,White,ALevel,1.0,4.0,0.0,-0.4764424111947792,-0.5447858333935546,-0.3593503564624661,-0.75
49,49,135298130.0,Female,21.0,1,White,GCSE,5.0,1.0,0.0,0.6815137811879615,1.6143812080498012,0.7371418911476108,0.69
50,50,135298170.0,Male,51.0,4,White,GCSE,4.0,2.0,0.0,,-0.4130056853242417,2.0366882586854795,-0.19
51,51,135300170.0,Female,71.0,6,White,,1.0,4.0,0.0,2.1688885455416544,1.036575943438199,1.2549298969634803,-0.52
52,52,135302010.0,Male,39.0,3,White,University,3.0,3.0,0.0,-1.3449095554818349,-0.3623210129898906,0.0975214133750658,-1.22
53,53,135303050.0,Male,66.0,6,White,,4.0,4.0,0.0,1.2804566393169654,0.2661689239560627,2.0062301406963106,-1.22
54,54,135303170.0,Female,64.0,5,White,GCSE,3.0,4.0,1.0,,,1.2549298969634803,-1.22
55,55,135303210.0,Male,37.0,3,White,ALevel,3.0,1.0,0.0,0.7114609240944116,1.5839704046491907,-0.3796557684552454,-0.28
56,56,135304010.0,Female,21.0,1,White,GCSE,1.0,1.0,0.0,,,0.3411863572884163,0.49
57,57,135306130.0,Female,53.0,4,Asian or Asian British,GCSE,8.0,3.0,0.0,,,,-0.54
58,58,135306210.0,Male,42.0,3,White,University,2.0,5.0,0.0,0.1324828279030413,0.3574013341578945,0.3107282392992475,-0.73
59,59,135306290.0,Male,56.0,5,White,,3.0,5.0,0.0,1.6198575922567342,2.5875269168693418,-0.3593503564624661,-0.5
60,60,135307050.0,Female,56.0,5,White,GCSE,4.0,2.0,1.0,1.889381878414786,,1.2244717789743116,0.88
61,61,135307210.0,Male,23.0,1,Asian or Asian British,University,8.0,1.0,1.0,,,,3.8
62,62,135309210.0,Female,40.0,3,White,Other,5.0,4.0,0.0,-1.903922889735572,-1.943682789821644,-0.3695030624588558,-1.22
63,63,135311050.0,Male,42.0,3,White,GCSE,1.0,1.0,0.0,-1.3449095554818349,-0.8184830639990504,0.5543931832125979,0.53
64,64,135313010.0,Female,41.0,3,White,,4.0,4.0,0.0,,,1.4579840168912723,-0.52
65,65,135319210.0,Male,33.0,2,White,,2.0,4.0,0.0,1.6098752112879178,1.5636965357154502,-0.8162221262999981,-1.0
66,66,135321250.0,Female,21.0,1,White,University,3.0,4.0,0.0,-0.1969357440679108,0.5804138924290392,1.9656193167107523,0.02
67,67,135331010.0,Female,53.0,4,White,University,3.0,2.0,0.0,-0.1669886011614606,-0.1190345857850055,1.01126495305013,1.11
68,68,135332170.0,Female,30.0,2,White,,5.0,4.0,0.0,-0.486424792163596,-0.8793046708002716,-0.3593503564624661,0.01
69,69,135335130.0,Male,44.0,3,White,GCSE,1.0,4.0,0.0,0.142465208871858,-0.7779353261315695,-0.3593503564624661,-1.22
70,70,135337210.0,Female,66.0,6,White,GCSE,1.0,,0.0,1.5799280683814674,0.6817832370977415,-1.5776750760292182,-0.94
71,71,135339250.0,Female,28.0,2,White,University,5.0,1.0,1.0,1.0109323531589138,0.6817832370977415,0.5543931832125979,2.49
72,72,135341170.0,Male,75.0,7,White,Other,5.0,,1.0,,,-1.1715668361736342,-0.29
73,73,135342170.0,Female,30.0,2,White,GCSE,3.0,,0.0,0.3820423521234596,,1.0518757770356884,-1.0
74,74,135343090.0,Female,76.0,7,White,,5.0,,0.0,-1.0554205073861498,,-0.3593503564624661,-1.22
75,75,135343330.0,Female,19.0,1,White,,5.0,,0.0,0.6515666382815114,1.594107339116061,2.8793628563858165,-0.43
