ParticipantID,LunchOption,BeforeLunchScore,AfterLunchScore
1,Veg,57.1,59.2
2,Veg,58.6,60.1
3,Meat,63.4,67.1
4,Meat,70.9,73.0
5,Meat,67.0,71.0
6,Veg,64.5,68.3
7,Veg,57.1,62.9
8,Veg,60.0,66.9
9,Meat,63.8,67.3
10,Veg,69.2,70.5
11,Meat,51.4,67.2
12,Meat,54.6,56.8
13,Meat,61.9,63.5
14,Veg,53.0,55.3
15,Meat,65.3,68.7
16,Meat,59.6,61.6
17,Veg,58.5,68.2
18,Veg,56.9,57.7
19,Meat,56.8,63.3
20,Veg,58.1,64.1
21,Veg,57.9,62.7
22,Veg,68.1,72.6
23,Meat,62.8,65.8
24,Meat,59.2,60.0
25,Meat,58.8,61.3
26,Veg,55.1,60.8
27,Meat,64.5,66.4
28,Meat,52.1,56.5
29,Veg,63.9,64.8
30,Veg,62.0,67.3
31,Veg,47.6,68.0
32,Veg,39.7,35.5
33,Veg,42.7,45.3
34,Veg,42.2,49.5
35,Meat,42.4,36.4
36,Veg,42.5,36.5
37,Meat,50.8,58.5
38,Meat,47.4,48.8
39,Veg,53.1,58.1
40,Meat,48.7,46.5
41,Meat,49.3,50.2
42,Veg,47.4,46.9
43,Veg,53.6,47.6
44,Veg,47.4,46.4
45,Veg,50.8,56.5
46,Meat,51.3,50.6
47,Veg,71.6,72.2
48,Veg,67.0,66.1
49,Veg,67.3,66.1
50,Meat,68.1,66.6
51,Meat,66.7,66.4
52,Veg,45.0,60.0
53,Veg,47.4,61.292893505673646
54,Veg,47.4,61.02041022696104
55,Veg,47.6,68.0
