ParticipantID,Resolution,ExerciseMinutes_December,ExerciseMinutes_January
1,No,148.7,121.4
2,Yes,159.3,182.9
3,Yes,110.8,139.8
4,No,104.9,99.2
5,Yes,101.6,140.1
6,Yes,64.4,97.0
7,No,68.6,71.8
8,Yes,187.9,220.8
9,Yes,66.7,56.2
10,No,130.6,163.2
11,No,156.3,165.3
12,Yes,114.3,138.8
13,Yes,91.8,136.9
14,No,154.0,171.1
15,Yes,134.5,156.7
16,No,115.2,125.4
17,No,94.2,120.9
18,Yes,127.0,169.7
19,No,141.3,141.1
20,Yes,148.4,193.9
21,Yes,95.9,139.7
22,Yes,73.4,98.7
23,Yes,112.4,160.6
24,Yes,115.8,144.0
25,Yes,192.3,228.8
26,No,65.5,69.6
27,No,177.2,157.1
28,Yes,131.3,212.0
29,No,98.1,102.5
30,Yes,89.6,71.6
31,Yes,139.4,194.4
32,Yes,143.3,229.6
33,No,148.2,134.1
34,No,156.0,148.0
35,No,175.0,167.6
36,No,200.0,197.6
37,No,135.6,123.6
38,Yes,216.9,237.0
39,Yes,125.8,135.0
40,No,83.6,133.7
41,No,37.5,53.8
42,No,62.7,65.6
43,No,80.4,97.1
44,No,157.4,104.2
45,No,49.8,101.2
46,No,117.2,100.8
47,Yes,137.9,221.8
48,Yes,160.5,218.7
49,No,203.1,206.6
50,Yes,163.5,190.2
