RT_ms,AgeGroup
283.1,Younger
241.5,Younger
293.9,Younger
365.8,Younger
235.8,Younger
235.8,Younger
371.0,Younger
302.9,Younger
222.3,Younger
286.3,Younger
222.7,Younger
222.5,Younger
265.6,Younger
155.0,Younger
162.4,Younger
217.2,Younger
194.1,Younger
270.4,Younger
199.2,Younger
175.6,Younger
360.6,Younger
236.3,Younger
254.3,Younger
175.1,Younger
218.2,Younger
257.0,Younger
187.5,Younger
274.6,Younger
215.1,Younger
232.4,Younger
267.1,Older
557.8,Older
318.7,Older
233.0,Older
409.6,Older
221.9,Older
340.7,Older
177.8,Older
214.8,Older
339.5,Older
399.4,Older
336.9,Older
309.1,Older
292.4,Older
205.4,Older
257.8,Older
278.7,Older
439.4,Older
354.7,Older
188.6,Older
352.7,Older
285.1,Older
261.2,Older
384.5,Older
436.0,Older
423.1,Older
248.8,Older
291.7,Older
353.4,Older
428.8,Older
